year	country	bug	drug	metric	value
2015	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_res	86
2015	Cyprus	Acinetobacter spp.	Aminoglycosides	n_res	44
2015	Czech Republic	Acinetobacter spp.	Aminoglycosides	n_res	9
2015	Germany	Acinetobacter spp.	Aminoglycosides	n_res	18
2015	Denmark	Acinetobacter spp.	Aminoglycosides	n_res	3
2015	Estonia	Acinetobacter spp.	Aminoglycosides	n_res	2
2015	Greece	Acinetobacter spp.	Aminoglycosides	n_res	791
2015	Spain	Acinetobacter spp.	Aminoglycosides	n_res	47
2015	Finland	Acinetobacter spp.	Aminoglycosides	n_res	1
2015	France	Acinetobacter spp.	Aminoglycosides	n_res	48
2015	Croatia	Acinetobacter spp.	Aminoglycosides	n_res	174
2015	Hungary	Acinetobacter spp.	Aminoglycosides	n_res	282
2015	Ireland	Acinetobacter spp.	Aminoglycosides	n_res	3
2015	Iceland	Acinetobacter spp.	Aminoglycosides	n_res	0
2015	Italy	Acinetobacter spp.	Aminoglycosides	n_res	490
2015	Lithuania	Acinetobacter spp.	Aminoglycosides	n_res	66
2015	Luxembourg	Acinetobacter spp.	Aminoglycosides	n_res	0
2015	Latvia	Acinetobacter spp.	Aminoglycosides	n_res	36
2015	Malta	Acinetobacter spp.	Aminoglycosides	n_res	2
2015	Netherlands	Acinetobacter spp.	Aminoglycosides	n_res	8
2015	Norway	Acinetobacter spp.	Aminoglycosides	n_res	3
2015	Poland	Acinetobacter spp.	Aminoglycosides	n_res	172
2015	Portugal	Acinetobacter spp.	Aminoglycosides	n_res	144
2015	Romania	Acinetobacter spp.	Aminoglycosides	n_res	152
2015	Sweden	Acinetobacter spp.	Aminoglycosides	n_res	1
2015	Slovenia	Acinetobacter spp.	Aminoglycosides	n_res	13
2015	Slovakia	Acinetobacter spp.	Aminoglycosides	n_res	66
2015	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_res	3
2012	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_res	58.461538462
2012	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_res	52.173913043
2012	Germany	Acinetobacter spp.	Aminoglycosides	pct_res	5.882352941
2012	Denmark	Acinetobacter spp.	Aminoglycosides	pct_res	10.38961039
2012	Greece	Acinetobacter spp.	Aminoglycosides	pct_res	78.11993517
2012	France	Acinetobacter spp.	Aminoglycosides	pct_res	12.949640288
2012	Hungary	Acinetobacter spp.	Aminoglycosides	pct_res	68.796068796
2012	Italy	Acinetobacter spp.	Aminoglycosides	pct_res	83.333333333
2012	Netherlands	Acinetobacter spp.	Aminoglycosides	pct_res	1.694915254
2012	Norway	Acinetobacter spp.	Aminoglycosides	pct_res	4
2012	Poland	Acinetobacter spp.	Aminoglycosides	pct_res	70.142180095
2012	Portugal	Acinetobacter spp.	Aminoglycosides	pct_res	65.088757396
2012	Romania	Acinetobacter spp.	Aminoglycosides	pct_res	57.407407407
2012	Slovenia	Acinetobacter spp.	Aminoglycosides	pct_res	20
2012	United Kingdom	Acinetobacter spp.	Aminoglycosides	pct_res	2.777777778
2013	Austria	Acinetobacter spp.	Aminoglycosides	pct_res	9.803921569
2013	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_res	58.241758242
2013	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_res	60.606060606
2013	Czech Republic	Acinetobacter spp.	Aminoglycosides	pct_res	15.384615385
2013	Germany	Acinetobacter spp.	Aminoglycosides	pct_res	6.111111111
2013	Denmark	Acinetobacter spp.	Aminoglycosides	pct_res	1.333333333
2013	Greece	Acinetobacter spp.	Aminoglycosides	pct_res	82.041820418
2013	Spain	Acinetobacter spp.	Aminoglycosides	pct_res	68.831168831
